,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
9635,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,"$53,910.00",9/22/2016
9636,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,"$53,910.00",9/22/2016
9637,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,"$53,910.00",9/22/2016
9638,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,"$83,644.00",9/22/2016
9639,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,"$107,820.00",9/22/2016
9640,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,"$131,881.00",9/22/2016
9641,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,"$53,910.00",9/22/2016
9642,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,"$215,640.00",9/22/2016
9643,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,"$107,820.00",9/22/2016
9644,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,"$33,900.00",9/22/2016
9645,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,"$49,900.00",9/22/2016
9646,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,"$49,900.00",9/22/2016
9647,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,"$33,900.00",9/22/2016
9648,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,"$33,900.00",9/22/2016
9649,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,"$49,900.00",9/22/2016
9650,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,"$33,900.00",9/22/2016
9651,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,"$49,900.00",9/22/2016
9652,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,"$33,900.00",9/22/2016
9653,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,"$149,700.00",9/22/2016
9654,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,"$99,800.00",9/22/2016
9655,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,"$74,700.00",9/22/2016
9656,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,"$49,900.00",9/22/2016
9657,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,"$49,900.00",9/22/2016
9658,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,"$49,900.00",9/22/2016
9659,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,"$33,900.00",9/22/2016
9660,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,"$88,920.00",9/22/2016
9661,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,"$33,900.00",9/22/2016
9662,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,"$49,900.00",9/22/2016
9663,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,"$53,910.00",9/22/2016
9664,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,"$88,920.00",9/22/2016
9665,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,"$53,910.00",9/22/2016
9666,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,"$38,160.00",9/22/2016
9667,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,"$38,160.00",9/22/2016
9668,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,"$40,370.00",9/22/2016
9669,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,"$81,259.00",9/22/2016
9670,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,"$95,080.00",9/22/2016
9672,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,$100.00,9/14/2016
9674,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH, ,10019,0,2,2,7532,112850,2007,4,H3,"$8,909.00",9/13/2016
9676,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,"$5,997.00",9/9/2016
9677,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,$100.00,9/7/2016
9678,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH   STREET, ,10019,0,2,2,7532,112850,2007,4,H3,$100.00,9/7/2016
9679,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH   STREET, ,10019,0,2,2,7532,112850,2007,4,H3,"$20,600.00",9/6/2016
9681,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH   STREET, ,10019,0,2,2,7532,112850,2007,4,H3,"$10,000.00",9/2/2016
9682,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1259,11, ,HB,47 WEST 43RD   STREET, ,10036,0,3,3,10041,103750,1900,4,HB,"$53,000,000.00",8/1/2017
10129,1,MURRAY HILL,10 COOPS - ELEVATOR APARTMENTS             ,2,915,38, ,D4,240 EAST 35TH STREET, ,10016,121,0,121,12343,91745,1955,2,D4,"$650,000.00",2/3/2017
10471,1,MURRAY HILL,26 OTHER HOTELS                            ,4,867,20, ,H3,237 MADISON AVENUE, ,10016,0,1,1,4975,71043,1926,4,H3,"$37,000,000.00",7/17/2017
10472,1,MURRAY HILL,26 OTHER HOTELS                            ,4,889,55, ,HB,150 EAST 34TH   STREET, ,10016,0,2,2,10399,176584,1987,4,HB,"$118,000,000.00",6/20/2017
10846,1,SOHO,21 OFFICE BUILDINGS                        ,4,580,19, ,O5,163 VARICK STREET, ,10013,0,8,8,7500,51000,1925,4,O5,"$64,900,000.00",7/13/2017
11653,1,TRIBECA,23 LOFT BUILDINGS                          ,4,212,18, ,L9,52 VARICK STREET, ,10013,9,17,26,13867,79642,1900,4,L9,"$90,000,000.00",9/22/2016
11654,1,TRIBECA,25 LUXURY HOTELS                           ,4,211,29, ,H1,370 CANAL STREET, ,10013,0,1,1,10622,160545,2007,4,H1,"$109,915,000.00",9/29/2016
11750,1,UPPER EAST SIDE (59-79),07 RENTALS - WALKUP APARTMENTS             ,2,1490,1, ,C7,1472 YORK AVENUE, ,10075,184,8,192,22681,98622,1911,2,C7,"$1,500,000.00",5/24/2017
12041,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1397,33, ,D4,175 EAST 62ND STREET, ,10065,70,5,75,10498,150741,1963,2,D4,"$75,652.00",6/28/2017
13374,1,UPPER EAST SIDE (59-79),21 OFFICE BUILDINGS                        ,4,1396,7, ,O7,115 EAST 61ST   STREET, ,10065,0,32,32,5723,58298,1930,4,O7,"$730,000.00",11/1/2016
13390,1,UPPER EAST SIDE (59-79),38 ASYLUMS AND HOMES                       ,4,1468,5, ,N9,405 EAST 73RD   STREET, ,10021,77,0,77,10217,82600,1990,4,N9,$1.00,11/1/2016
14980,1,UPPER EAST SIDE (79-96),26 OTHER HOTELS                            ,4,1504,20, ,HS,43 EAST 92ND   STREET, ,10128,91,2,93,6266,53525,1930,4,HS,"$35,000,000.00",8/18/2017
15024,1,UPPER EAST SIDE (96-110),08 RENTALS - ELEVATOR APARTMENTS           ,2,1615,60, ,D5,8-18 EAST 110 STREET, ,10029,60,0,60,14886,57512,1910,2,D5,"$10,140,400.00",12/28/2016
15182,1,UPPER WEST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1118,36, ,D4,55 CENTRAL PARK WEST, ,10023,109,2,111,16677,231733,1930,2,D4,"$72,805.00",7/13/2017
16416,1,UPPER WEST SIDE (59-79),26 OTHER HOTELS                            ,4,1184,77, ,H6,305 WEST END AVENUE, ,10023,0,1,1,13825,184060,1923,4,H6,"$145,000,000.00",12/5/2016
16560,1,UPPER WEST SIDE (79-96),08 RENTALS - ELEVATOR APARTMENTS           ,2,1200,19, ,D7,21 WEST 86TH   STREET, ,10024,153,2,155,11531,141498,1927,2,D7,"$172,500,000.00",11/1/2016
16765,1,UPPER WEST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1209,109, ,D4,55 WEST 95TH STREET, ,10025,48,0,48,8963,61605,1913,2,D4,"$7,928.00",11/26/2016
16971,1,UPPER WEST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1246,36, ,D4,515 WEST END AVENUE, ,10024,62,2,64,10200,123411,1926,2,D4,"$13,864.00",4/6/2017
17094,1,UPPER WEST SIDE (79-96),11A CONDO-RENTALS                           ,2,1209,1101, ,RR,360 CENTRAL PARK WEST,RESID,10025,146,0,146,15100,155975,1929,2,RR,"$41,000,000.00",6/22/2017
17504,1,UPPER WEST SIDE (79-96),26 OTHER HOTELS                            ,4,1246,49, ,HH,340 WEST 85TH   STREET, ,10024,0,1,1,7663,51520,1927,4,HH,"$42,000,000.00",5/9/2017
17537,1,UPPER WEST SIDE (96-116),08 RENTALS - ELEVATOR APARTMENTS           ,2,1891,26, ,D3,915 WEST END AVENUE, ,10025,94,0,94,10092,118591,1923,2,D3,"$86,500,000.00",10/7/2016
17900,1,WASHINGTON HEIGHTS LOWER,08 RENTALS - ELEVATOR APARTMENTS           ,2,2116,58, ,D1,547 WEST 157TH ST, ,10032,48,0,48,12490,52896,1912,2,D1,"$14,650,000.00",12/22/2016
17901,1,WASHINGTON HEIGHTS LOWER,08 RENTALS - ELEVATOR APARTMENTS           ,2,2121,24, ,D7,1090 SAINT NICHOLAS AVENU, ,10032,40,2,42,13974,51550,1920,2,D7,"$21,150,000.00",7/14/2017
17908,1,WASHINGTON HEIGHTS LOWER,08 RENTALS - ELEVATOR APARTMENTS           ,2,2136,20, ,D1,838 RIVERSIDE DRIVE, ,10032,42,0,42,15464,56190,1920,2,D1,"$23,738,428.00",11/22/2016
17909,1,WASHINGTON HEIGHTS LOWER,08 RENTALS - ELEVATOR APARTMENTS           ,2,2136,106, ,D1,884 RIVERSIDE DRIVE, ,10032,60,0,60,16335,75852,1920,2,D1,"$20,441,978.00",11/22/2016
17911,1,WASHINGTON HEIGHTS LOWER,08 RENTALS - ELEVATOR APARTMENTS           ,2,2137,40, ,D5,80 FORT WASHINGTON AVEN, ,10032,75,0,75,14400,66138,1920,2,D5,"$23,009,004.00",11/22/2016
17912,1,WASHINGTON HEIGHTS LOWER,08 RENTALS - ELEVATOR APARTMENTS           ,2,2137,46, ,D7,66-72 FORT WASHINGTON AVEN, ,10032,45,1,46,15504,68178,1920,2,D7,"$18,000,000.00",11/22/2016
17913,1,WASHINGTON HEIGHTS LOWER,08 RENTALS - ELEVATOR APARTMENTS           ,2,2137,91, ,D1,86 FORT WASHINGTON AVEN, ,10032,65,0,65,16650,72090,1930,2,D1,"$16,310,588.00",11/22/2016
17914,1,WASHINGTON HEIGHTS LOWER,08 RENTALS - ELEVATOR APARTMENTS           ,2,2139,277, ,D1,200 HAVEN AVENUE, ,10033,95,0,95,26075,124789,1941,2,D1,"$41,000,000.00",7/27/2017
17916,1,WASHINGTON HEIGHTS LOWER,08 RENTALS - ELEVATOR APARTMENTS           ,2,2139,551, ,D1,217-221 HAVEN AVENUE, ,10033,49,0,49,13350,64518,1920,2,D1,"$36,161,535.00",11/23/2016
18040,1,WASHINGTON HEIGHTS UPPER,07 RENTALS - WALKUP APARTMENTS             ,2,2177,228, ,C1,1326-1338 RIVERSIDE DRIVE, ,10033,63,0,63,17050,54370,1924,2,C1,"$16,185,560.00",11/23/2016
18041,1,WASHINGTON HEIGHTS UPPER,08 RENTALS - ELEVATOR APARTMENTS           ,2,2158,16, ,D7,440 AUDUBON AVENUE, ,10040,68,3,71,14231,66240,1911,2,D7,"$20,800,000.00",12/22/2016
18045,1,WASHINGTON HEIGHTS UPPER,08 RENTALS - ELEVATOR APARTMENTS           ,2,2176,123, ,D7,720 WEST 181ST STREET, ,10033,52,5,57,12400,51144,1910,2,D7,"$32,000,000.00",4/10/2017
18046,1,WASHINGTON HEIGHTS UPPER,08 RENTALS - ELEVATOR APARTMENTS           ,2,2177,18, ,D7,385 FT WASHINGTON AVENUE, ,10033,64,3,67,12750,56850,1950,2,D7,"$40,100,000.00",7/6/2017
637,2,BEDFORD PARK/NORWOOD,08 RENTALS - ELEVATOR APARTMENTS           ,2,3314,51, ,D1,2701 GRAND CONCOURSE, ,10468,65,0,65,27810,93000,1924,2,D1,$0.00,2/7/2017
638,2,BEDFORD PARK/NORWOOD,08 RENTALS - ELEVATOR APARTMENTS           ,2,3316,20, ,D1,2710 MORRIS AVENUE, ,10468,61,0,61,16900,85956,1928,2,D1,"$11,118,000.00",3/13/2017
641,2,BEDFORD PARK/NORWOOD,08 RENTALS - ELEVATOR APARTMENTS           ,2,3328,39, ,D1,3551 DEKALB AVENUE, ,10467,77,0,77,17500,88200,1940,2,D1,$0.00,1/31/2017
710,2,BEDFORD PARK/NORWOOD,33 EDUCATIONAL FACILITIES                  ,4,3329,85, ,W4,3600 JEROME AVENUE, ,10467,0,1,1,29275,79275,1929,4,W4,"$7,375,000.00",10/31/2016
787,2,BELMONT,08 RENTALS - ELEVATOR APARTMENTS           ,2,3076,39, ,D7,2476 HUGHES AVENUE, ,10458,68,2,70,17500,58000,1913,2,D7,$0.00,5/23/2017
788,2,BELMONT,08 RENTALS - ELEVATOR APARTMENTS           ,2,3104,1, ,D1,2404 CROTONA AVENUE, ,10458,74,0,74,15000,55500,1912,2,D1,"$23,901,449.00",5/23/2017
1049,2,BRONXDALE,07 RENTALS - WALKUP APARTMENTS             ,2,4628,1, ,C1,679-681 MAGENTA STREET, ,10467,74,0,74,14850,61800,1926,2,C1,"$11,015,000.00",11/10/2016
1050,2,BRONXDALE,07 RENTALS - WALKUP APARTMENTS             ,2,4628,1, ,C1,679-681 MAGENTA STREET, ,10467,74,0,74,14850,61800,1926,2,C1,$0.00,11/9/2016
1309,2,CASTLE HILL/UNIONPORT,08 RENTALS - ELEVATOR APARTMENTS           ,2,3607,2, ,D3,2025 SEWARD AVENUE, ,10473,179,0,179,79118,221208,1978,2,D3,"$34,875,820.00",5/10/2017
1741,2,EAST TREMONT,07 RENTALS - WALKUP APARTMENTS             ,2,3061,42, ,C1,2018 MONTEREY AVENUE, ,10457,71,0,71,17500,55272,1928,2,C1,"$10,700,000.00",7/10/2017
1776,2,EAST TREMONT,21 OFFICE BUILDINGS                        ,4,2947,14, ,O3,1910 ARTHUR AVENUE, ,10457,0,8,8,8769,65181,1928,4,O3,"$10,500,000.00",5/24/2017
1983,2,HIGHBRIDGE/MORRIS HEIGHTS,07 RENTALS - WALKUP APARTMENTS             ,2,2857,77, ,C1,1447 MACOMBS ROAD, ,10452,53,0,53,13125,50000,1927,2,C1,$0.00,5/3/2017
1989,2,HIGHBRIDGE/MORRIS HEIGHTS,07 RENTALS - WALKUP APARTMENTS             ,2,2872,207, ,C7,1465 JESUP AVENUE, ,10452,55,1,56,12325,53550,1926,2,C7,"$9,200,000.00",1/20/2017
1997,2,HIGHBRIDGE/MORRIS HEIGHTS,08 RENTALS - ELEVATOR APARTMENTS           ,2,2504,141, ,D3,1001 JEROME AVENUE, ,10452,100,0,100,15182,122850,1937,2,D3,$0.00,2/28/2017
2003,2,HIGHBRIDGE/MORRIS HEIGHTS,08 RENTALS - ELEVATOR APARTMENTS           ,2,2859,92, ,D1,11 WEST 172 STREET, ,10452,66,0,66,13125,63000,1940,2,D1,"$10,500,000.00",2/1/2017
2005,2,HIGHBRIDGE/MORRIS HEIGHTS,08 RENTALS - ELEVATOR APARTMENTS           ,2,2877,516, ,D1,226 WEST TREMONT AVENUE, ,10453,49,0,49,11000,54000,1932,2,D1,"$6,300,000.00",7/18/2017
2006,2,HIGHBRIDGE/MORRIS HEIGHTS,08 RENTALS - ELEVATOR APARTMENTS           ,2,2880,47, ,D1,1535 UNDERCLIFF AVENUE, ,10453,146,0,146,41234,171000,1930,2,D1,$0.00,2/28/2017
2007,2,HIGHBRIDGE/MORRIS HEIGHTS,08 RENTALS - ELEVATOR APARTMENTS           ,2,2880,135, ,D1,1571 UNDERCLIFF AVENUE, ,10453,114,0,114,76176,132600,1932,2,D1,$0.00,2/28/2017
2031,2,HIGHBRIDGE/MORRIS HEIGHTS,27 FACTORIES                               ,4,2539,132, ,F4,10 MAJ WM DEEGAN BLVD, ,10451,0,1,1,137103,101235,1931,4,F4,$0.00,6/26/2017
2049,2,HIGHBRIDGE/MORRIS HEIGHTS,38 ASYLUMS AND HOMES                       ,4,2504,6, ,N2,936 WOODYCREST AVENUE, ,10452,0,1,1,40000,63000,1900,4,N2,"$14,000,000.00",8/21/2017
2082,2,HUNTS POINT,07 RENTALS - WALKUP APARTMENTS             ,2,2761,83, ,C7,916 FAILE STREET, ,10474,59,2,61,13115,57840,1926,2,C7,"$8,700,000.00",10/19/2016
2107,2,HUNTS POINT,30 WAREHOUSES                              ,4,2604,252, ,E1,977 EAST 149 STREET, ,10455,0,1,1,491293,213776,1971,4,E1,"$7,480,000.00",6/16/2017
2108,2,HUNTS POINT,30 WAREHOUSES                              ,4,2604,252, ,E1,977 EAST 149 STREET, ,10455,0,1,1,491293,213776,1971,4,E1,$0.00,3/1/2017
2109,2,HUNTS POINT,30 WAREHOUSES                              ,4,2604,270, ,E9,1025 EAST 149 STREET, ,10455,0,2,2,449890,185000,1974,4,E9,"$7,480,000.00",6/16/2017
2189,2,KINGSBRIDGE HTS/UNIV HTS,07 RENTALS - WALKUP APARTMENTS             ,2,3216,52, ,C1,2001 UNIVERSITY AVENUE, ,10453,78,0,78,18470,68430,1923,2,C1,$0.00,6/29/2017
2197,2,KINGSBRIDGE HTS/UNIV HTS,08 RENTALS - ELEVATOR APARTMENTS           ,2,3234,49, ,D1,2285 SEDGWICK AVENUE, ,10468,54,0,54,12816,58212,1927,2,D1,"$8,450,000.00",2/9/2017
2199,2,KINGSBRIDGE HTS/UNIV HTS,08 RENTALS - ELEVATOR APARTMENTS           ,2,3240,44, ,D3,170 WEST KINGSBRIDGE RD, ,10463,91,0,91,44625,98000,1973,2,D3,$0.00,8/15/2017
2251,2,KINGSBRIDGE HTS/UNIV HTS,32 HOSPITAL AND HEALTH FACILITIES          ,4,3220,37, ,I6,100 WEST KINGSBRIDGE RD, ,10468,0,1,1,51944,235297,1975,4,I6,"$110,000,000.00",9/20/2016
2252,2,KINGSBRIDGE HTS/UNIV HTS,32 HOSPITAL AND HEALTH FACILITIES          ,4,3220,37, ,I6,100 WEST KINGSBRIDGE RD, ,10468,0,1,1,51944,235297,1975,4,I6,$0.00,9/8/2016
2255,2,KINGSBRIDGE HTS/UNIV HTS,32 HOSPITAL AND HEALTH FACILITIES          ,4,3220,90, ,I6,2545 UNIVERSITY AVENUE, ,10468,0,1,1,34066,173369,1971,4,I6,$0.00,9/20/2016
2337,2,KINGSBRIDGE/JEROME PARK,07 RENTALS - WALKUP APARTMENTS             ,2,3248,6, ,C7,2690 UNIVERSITY AVENUE, ,10468,62,7,69,13803,58800,1924,2,C7,"$14,000,000.00",6/12/2017
2340,2,KINGSBRIDGE/JEROME PARK,07 RENTALS - WALKUP APARTMENTS             ,2,3271,2, ,C1,181 WEST 238 STREET, ,10463,65,0,65,11776,59057,1925,2,C1,$0.00,7/11/2017
2341,2,KINGSBRIDGE/JEROME PARK,07 RENTALS - WALKUP APARTMENTS             ,2,5703,160, ,C7,231 WEST 230 STREET, ,10463,89,2,91,29396,79630,1923,2,C7,"$20,000,000.00",5/22/2017
2342,2,KINGSBRIDGE/JEROME PARK,07 RENTALS - WALKUP APARTMENTS             ,2,5703,192, ,C7,3063 GODWIN TERRACE, ,10463,63,7,70,10300,64490,1925,2,C7,$0.00,4/5/2017
2345,2,KINGSBRIDGE/JEROME PARK,08 RENTALS - ELEVATOR APARTMENTS           ,2,3256,84, ,D1,2775 KINGSBRIDGE TERRACE, ,10463,73,0,73,16875,69960,1930,2,D1,$0.00,12/31/2016
2346,2,KINGSBRIDGE/JEROME PARK,08 RENTALS - ELEVATOR APARTMENTS           ,2,3256,144, ,D1,2907 KINGSBRIDGE TERRACE, ,10463,79,0,79,18560,86500,1928,2,D1,"$13,500,000.00",9/27/2016
2347,2,KINGSBRIDGE/JEROME PARK,08 RENTALS - ELEVATOR APARTMENTS           ,2,3256,150, ,D1,2899 KINGSBRIDGE TERRACE, ,10463,83,0,83,16750,68460,1928,2,D1,"$14,000,000.00",9/27/2016
2378,2,KINGSBRIDGE/JEROME PARK,10 COOPS - ELEVATOR APARTMENTS             ,2,3260,5, ,D4,2860 BAILEY AVENUE, ,10463,78,0,78,26160,77760,1955,2,D4,"$288,381.00",2/13/2017
2603,2,MELROSE/CONCOURSE,08 RENTALS - ELEVATOR APARTMENTS           ,2,2459,34, ,D7,888 GRAND CONCOURSE,`,10451,81,10,91,28444,122800,1931,2,D7,"$28,000,000.00",6/13/2017
2604,2,MELROSE/CONCOURSE,08 RENTALS - ELEVATOR APARTMENTS           ,2,2459,34, ,D7,888 GRAND CONCOURSE,`,10451,81,10,91,28444,122800,1931,2,D7,$0.00,2/2/2017
2605,2,MELROSE/CONCOURSE,08 RENTALS - ELEVATOR APARTMENTS           ,2,2461,35, ,D7,909 SHERIDAN AVENUE, ,10451,62,4,66,16116,77050,1938,2,D7,"$12,383,705.00",5/3/2017
2606,2,MELROSE/CONCOURSE,08 RENTALS - ELEVATOR APARTMENTS           ,2,2465,25, ,D7,1240 WALTON AVENUE, ,10452,162,1,163,40046,171044,1928,2,D7,$1.00,6/21/2017
2688,2,MELROSE/CONCOURSE,27 FACTORIES                               ,4,2352,15, ,F1,585 GERARD AVENUE, ,10451,0,1,1,25000,50000,1913,4,F1,$0.00,6/26/2017
2708,2,MELROSE/CONCOURSE,32 HOSPITAL AND HEALTH FACILITIES          ,4,2430,45, ,I6,1160 TELLER AVENUE, ,10456,0,1,1,50000,214370,1972,4,I6,"$17,500,000.00",9/15/2016
3230,2,MORRISANIA/LONGWOOD,07 RENTALS - WALKUP APARTMENTS             ,2,2696,75, ,C7,830-850 STEBBINS AVE, ,10459,71,7,78,14579,75672,1910,2,C7,$1.00,6/21/2017
3249,2,MORRISANIA/LONGWOOD,08 RENTALS - ELEVATOR APARTMENTS           ,2,2612,58, ,D7,1229 FRANKLIN AVENUE, ,10456,56,6,62,15058,68722,1928,2,D7,"$12,000,000.00",2/15/2017
3250,2,MORRISANIA/LONGWOOD,08 RENTALS - ELEVATOR APARTMENTS           ,2,2615,8, ,D1,1250 FRANKLIN AVENUE, ,10456,56,0,56,17300,59814,1928,2,D1,"$8,800,000.00",3/23/2017
3251,2,MORRISANIA/LONGWOOD,08 RENTALS - ELEVATOR APARTMENTS           ,2,2735,11, ,D7,926 SOUTHERN BOULEVARD, ,10459,32,4,36,11200,50674,1911,2,D7,$0.00,7/3/2017
3297,2,MORRISANIA/LONGWOOD,27 FACTORIES                               ,4,2387,1, ,F9,3350 PARK AVENUE, ,10456,0,5,5,92044,69672,1931,4,F9,"$9,000,000.00",7/27/2017
3317,2,MORRISANIA/LONGWOOD,30 WAREHOUSES                              ,4,2387,10, ,E9,3362 PARK AVENUE, ,10456,0,1,1,34270,62500,1911,4,E9,"$9,950,000.00",5/23/2017
3333,2,MORRISANIA/LONGWOOD,40 SELECTED GOVERNMENTAL FACILITIES        ,4,2382,48, ,Y3,470 EAST 161 STREET, ,10451,0,1,1,41507,61187,1915,4,Y3,"$16,000,000.00",2/13/2017
3427,2,MOTT HAVEN/PORT MORRIS,08 RENTALS - ELEVATOR APARTMENTS           ,2,2553,2, ,D1,575 EAST 140TH STREET, ,10454,127,0,127,67830,119160,1985,2,D1,$0.00,4/7/2017
3454,2,MOTT HAVEN/PORT MORRIS,27 FACTORIES                               ,4,2584,1, ,F4,780 EAST 133 STREET, ,10454,0,2,2,41901,59829,1931,4,F4,"$700,000.00",1/1/2017
