,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
7920,4,FLUSHING-NORTH,08 RENTALS - ELEVATOR APARTMENTS           ,2,5140,6, ,D7,13604 CHERRY AVE, ,11355,81,8,89,21000,85607,1959,2,D7,"$26,000,000.00",1/24/2017
8014,4,FLUSHING-NORTH,10 COOPS - ELEVATOR APARTMENTS             ,2,4374,35, ,D4,31-50 140TH   STREET, ,11354,136,0,136,74923,176611,1957,2,D4,"$133,390.00",5/16/2017
11204,4,FOREST HILLS,10 COOPS - ELEVATOR APARTMENTS             ,2,2172,1, ,D4,65-11 108TH STREET, ,11375,120,0,120,28000,90816,1949,2,D4,"$170,000.00",3/2/2017
13359,4,HOLLIS,30 WAREHOUSES                              ,4,10352,79, ,E9,184-10 JAMAICA AVENUE, ,11423,0,16,16,57100,226605,1920,4,E9,"$78,000,000.00",7/21/2017
13501,4,HOLLISWOOD,08 RENTALS - ELEVATOR APARTMENTS           ,2,10499,83, ,D1,188-30 87TH   DRIVE, ,11423,95,0,95,37400,68466,1950,2,D1,"$20,900,000.00",3/27/2017
14519,4,JACKSON HEIGHTS,07 RENTALS - WALKUP APARTMENTS             ,2,1423,71, ,C1,32-15 93RD   STREET, ,11369,78,0,78,20000,54680,1927,2,C1,"$18,000,000.00",12/8/2016
14532,4,JACKSON HEIGHTS,08 RENTALS - ELEVATOR APARTMENTS           ,2,1273,1, ,D1,73-12 35TH AVENUE, ,11372,198,0,198,59000,194450,1940,2,D1,"$85,091,472.00",10/25/2016
14665,4,JACKSON HEIGHTS,10 COOPS - ELEVATOR APARTMENTS             ,2,1266,1, ,D4,7910 34TH AVENUE, ,11372,148,2,150,47000,165000,1955,2,D4,"$525,000.00",7/27/2017
14699,4,JACKSON HEIGHTS,10 COOPS - ELEVATOR APARTMENTS             ,2,1272,12, ,D4,35-30 73RD STREET, ,11372,96,0,96,24000,99552,1937,2,D4,"$195,000.00",2/3/2017
14743,4,JACKSON HEIGHTS,10 COOPS - ELEVATOR APARTMENTS             ,2,1277,58, ,D4,35-25 77TH STREET, ,11372,96,0,96,30000,115600,1937,2,D4,"$610,000.00",9/26/2016
14751,4,JACKSON HEIGHTS,10 COOPS - ELEVATOR APARTMENTS             ,2,1279,46, ,D4,35-45 79TH STREET, ,11372,78,0,78,24500,81000,1939,2,D4,"$349,000.00",8/23/2017
15284,4,JAMAICA,08 RENTALS - ELEVATOR APARTMENTS           ,2,9755,1, ,D1,89-21 153RD   STREET, ,11432,42,0,42,9500,51000,1936,2,D1,"$11,000,000.00",8/31/2017
17118,4,LONG ISLAND CITY,27 FACTORIES                               ,4,410,46, ,F1,21-07 41ST   AVENUE, ,11101,0,2,2,20630,91145,1913,4,F1,"$25,000,000.00",6/13/2017
17119,4,LONG ISLAND CITY,27 FACTORIES                               ,4,440,1, ,F1,43-10 23RD   STREET, ,11101,0,1,1,36650,130000,1924,4,F1,"$54,000,000.00",5/23/2017
