,BOROUGH,LAND SQUARE FEET,GROSS SQUARE FEET,SALE PRICE,SQUARE FOOT VALUE ($),YEAR BUILT,TAX CLASS AT TIME OF SALE
49062,Queens,76000,395000.0,180000,0.46,1960,2
49478,Queens,74290,357760.0,139874900,390.97,1975,4
49949,Queens,95123,138000.0,18100000,131.16,1931,4
51018,Queens,75700,233210.0,58070000,249.00,1959,4
52744,Queens,12500,54490.0,14996374,275.21,1953,2
54657,Staten Island,82250,127800.0,120000,0.94,1966,2
56434,Staten Island,294144,166543.0,8050000,48.34,1945,4
57480,Staten Island,784218,319000.0,2348842,7.36,1975,4
57481,Staten Island,1865243,683200.0,711008,1.04,1975,4
57482,Staten Island,1865243,683200.0,4223025,6.18,1975,4
57483,Staten Island,754754,179200.0,4346648,24.26,1993,4
57650,Staten Island,354000,115200.0,90000,0.78,1984,2
58356,Staten Island,3014056,349503.0,7211750,20.63,1971,4
58803,Staten Island,78672,126468.0,1,0.00,1965,4
59757,Staten Island,208033,64117.0,11693337,182.37,2001,4
