,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
3454,2,MOTT HAVEN/PORT MORRIS,27 FACTORIES                               ,4,2584,1, ,F4,780 EAST 133 STREET, ,10454,0,2,2,41901,59829,1931,4,F4,700000,42736
3472,2,MOTT HAVEN/PORT MORRIS,30 WAREHOUSES                              ,4,2588,33, ,E1,845 EAST 136 STREET, ,10454,0,3,3,55773,88000,1929,4,E1,19086600,42964
4382,2,PELHAM PARKWAY SOUTH,32 HOSPITAL AND HEALTH FACILITIES          ,4,4205,3, ,I1,1301 MORRIS PARK AVENUE, ,10461,0,1,1,215194,217000,2008,4,I1,0,42634
4384,2,PELHAM PARKWAY SOUTH,32 HOSPITAL AND HEALTH FACILITIES          ,4,4205,55, ,I1,1410 PELHAM PARKWAY SOUTH, ,10461,0,0,0,42855,120650,1965,4,I1,0,42634
5017,2,RIVERDALE,32 HOSPITAL AND HEALTH FACILITIES          ,4,5841,1945, ,I7,6355 BROADWAY, ,10471,0,1,1,35525,66000,1961,4,I7,15000000,42832
5284,2,SCHUYLERVILLE/PELHAM BAY,21 OFFICE BUILDINGS                        ,4,4239,5, ,O7,3250 WESTCHESTER AVENUE, ,10461,0,19,19,76527,52830,1954,4,O7,33000000,42688
6515,2,WESTCHESTER,27 FACTORIES                               ,4,3842,55, ,F5,1231 SEABURY AVENUE, ,10462,0,1,1,98712,70000,1990,4,F5,1,42828
5698,3,BROOKLYN HEIGHTS,26 OTHER HOTELS                            ,4,224,5, ,H8,107 COLUMBIA HEIGHTS, ,11201,0,1,1,20427,104239,1960,4,H8,87500000,42864
6002,3,BUSH TERMINAL,30 WAREHOUSES                              ,4,745,1, ,E9,201 46TH   STREET, ,11220,0,4,4,26033,52000,1900,4,E9,15500000,42663
8261,3,COBBLE HILL,32 HOSPITAL AND HEALTH FACILITIES          ,4,284,1, ,I1,355 HICKS STREET, ,11201,0,1,1,28388,64000,1972,4,I1,0,42859
8584,3,CONEY ISLAND,21 OFFICE BUILDINGS                        ,4,7071,123, ,O2,3050 WEST 21ST   STREET, ,11224,0,1,1,24000,69500,1925,4,O2,13175224,42880
8586,3,CONEY ISLAND,22 STORE BUILDINGS                         ,4,7273,1, ,K4,486 NEPTUNE AVENUE, ,11224,0,28,28,220122,125991,1964,4,K4,9000000,42892
10037,3,DOWNTOWN-FULTON FERRY,26 OTHER HOTELS                            ,4,30,12, ,H8,50 JAY STREET, ,11201,0,1,1,13812,86350,1913,4,H8,0,42916
10340,3,DOWNTOWN-FULTON MALL,22 STORE BUILDINGS                         ,4,160,18, ,K4,510 FULTON STREET, ,11201,0,1,1,13100,58300,1920,4,K4,0,42633
10489,3,DOWNTOWN-METROTECH,21 OFFICE BUILDINGS                        ,4,63,1, ,O6,55 PROSPECT STREET, ,11201,0,2,2,20704,206000,1967,4,O6,0,42825
10490,3,DOWNTOWN-METROTECH,21 OFFICE BUILDINGS                        ,4,63,1, ,O6,55 PROSPECT STREET, ,11201,0,2,2,20704,206000,1967,4,O6,138106368,42825
10491,3,DOWNTOWN-METROTECH,21 OFFICE BUILDINGS                        ,4,63,1, ,O6,55 PROSPECT STREET, ,11201,0,2,2,20704,206000,1967,4,O6,0,42825
10492,3,DOWNTOWN-METROTECH,21 OFFICE BUILDINGS                        ,4,64,25, ,O6,81 PROSPECT STREET, ,11201,0,2,2,8253,81760,1909,4,O6,0,42825
10493,3,DOWNTOWN-METROTECH,21 OFFICE BUILDINGS                        ,4,64,25, ,O6,81 PROSPECT STREET, ,11201,0,2,2,8253,81760,1909,4,O6,50584955,42825
10494,3,DOWNTOWN-METROTECH,21 OFFICE BUILDINGS                        ,4,64,25, ,O6,81 PROSPECT STREET, ,11201,0,2,2,8253,81760,1909,4,O6,0,42825
10495,3,DOWNTOWN-METROTECH,21 OFFICE BUILDINGS                        ,4,76,1, ,O6,117 ADAMS STREET, ,11201,0,2,2,20600,164115,1926,4,O6,0,42825
10496,3,DOWNTOWN-METROTECH,21 OFFICE BUILDINGS                        ,4,76,1, ,O6,117 ADAMS STREET, ,11201,0,2,2,20600,164115,1926,4,O6,98463962,42825
10497,3,DOWNTOWN-METROTECH,21 OFFICE BUILDINGS                        ,4,76,1, ,O6,117 ADAMS STREET, ,11201,0,2,2,20600,164115,1926,4,O6,0,42825
10498,3,DOWNTOWN-METROTECH,21 OFFICE BUILDINGS                        ,4,77,1, ,O6,77 SANDS STREET, ,11201,0,5,5,14800,191800,1962,4,O6,0,42825
10499,3,DOWNTOWN-METROTECH,21 OFFICE BUILDINGS                        ,4,77,1, ,O6,77 SANDS STREET, ,11201,0,5,5,14800,191800,1962,4,O6,121313223,42825
10500,3,DOWNTOWN-METROTECH,21 OFFICE BUILDINGS                        ,4,77,1, ,O6,77 SANDS STREET, ,11201,0,5,5,14800,191800,1962,4,O6,0,42825
10501,3,DOWNTOWN-METROTECH,21 OFFICE BUILDINGS                        ,4,87,5, ,O6,175 PEARL STREET, ,11201,0,3,3,21218,191688,1918,4,O6,102873750,42825
10502,3,DOWNTOWN-METROTECH,21 OFFICE BUILDINGS                        ,4,147,36, ,O5,57 WILLOUGHBY STREET, ,11201,0,4,4,16525,96586,1929,4,O5,54000000,42726
10503,3,DOWNTOWN-METROTECH,21 OFFICE BUILDINGS                        ,4,148,46, ,O6,81 WILLOUGHBY STREET, ,11201,0,1,1,10750,73860,1900,4,O6,0,42625
11757,3,EAST NEW YORK,27 FACTORIES                               ,4,3964,8, ,F2,2840 ATLANTIC AVENUE, ,11207,0,1,1,30550,76400,1914,4,F2,0,42755
14507,3,GOWANUS,22 STORE BUILDINGS                         ,4,1007,172, ,K6,1 12TH   ST EXTENSION, ,11215,0,6,6,86250,108625,1968,4,K6,0,42649
14530,3,GOWANUS,29 COMMERCIAL GARAGES                      ,4,1031,1, ,G1,433 HAMILTON AVENUE, ,11232,0,1,1,103383,65000,1926,4,G1,0,42810
15214,3,GRAVESEND,22 STORE BUILDINGS                         ,4,6491,207, ,K8,1752 SHORE PARKWAY, ,11214,0,1,1,499600,139557,2013,4,K8,225000,42692
15664,3,GREENPOINT,27 FACTORIES                               ,4,2607,6, ,F9,306 NORTH HENRY, ,11222,0,2,2,95000,89300,1930,4,F9,0,42877
15665,3,GREENPOINT,27 FACTORIES                               ,4,2607,6, ,F9,306 NORTH HENRY, ,11222,0,2,2,95000,89300,1930,4,F9,1650000,42769
15666,3,GREENPOINT,27 FACTORIES                               ,4,2607,6, ,F9,306 NORTH HENRY, ,11222,0,2,2,95000,89300,1930,4,F9,16000000,42716
15898,3,KENSINGTON,33 EDUCATIONAL FACILITIES                  ,4,5338,51, ,M9,222 OCEAN PARKWAY, ,11218,0,1,1,10736,99000,1921,4,W2,0,42724
15899,3,KENSINGTON,37 RELIGIOUS FACILITIES                    ,4,5322,44, ,M1,58 CATON PLACE, ,11218,0,1,1,34660,51800,1997,4,M1,0,42710
18399,3,OCEAN PARKWAY-NORTH,32 HOSPITAL AND HEALTH FACILITIES          ,4,6536,30, ,I9,1504 CONEY ISLAND AVENUE, ,11230,0,11,11,12000,145983,0,4,I9,0,42971
20372,3,RED HOOK,27 FACTORIES                               ,4,492,20, ,F5,628 SMITH STREET, ,11231,0,9,9,20000,60000,1920,4,F5,0,42885
20393,3,RED HOOK,30 WAREHOUSES                              ,4,573,1, ,E1,100 FERRIS, ,11231,0,1,1,67886,50000,1995,4,E1,13600000,42856
22880,3,WILLIAMSBURG-EAST,30 WAREHOUSES                              ,4,2974,1, ,E1,134 MORGAN AVENUE, ,11237,0,4,4,109400,100000,1962,4,E1,30000000,42796
22881,3,WILLIAMSBURG-EAST,30 WAREHOUSES                              ,4,2974,1, ,E1,134 MORGAN AVENUE, ,11237,0,4,4,109400,100000,1962,4,E1,0,42796
23236,3,WILLIAMSBURG-NORTH,26 OTHER HOTELS                            ,4,2283,1, ,HB,55 WYTHE AVENUE, ,11249,0,184,184,50000,185141,2014,4,HB,0,42793
23243,3,WILLIAMSBURG-NORTH,30 WAREHOUSES                              ,4,2294,1, ,E1,16 NORTH 11 STREET, ,11249,0,1,1,147343,97300,1999,4,E1,0,42844
23244,3,WILLIAMSBURG-NORTH,30 WAREHOUSES                              ,4,2294,1, ,E1,16 NORTH 11 STREET, ,11249,0,1,1,147343,97300,1999,4,E1,0,42844
